SIRA NO;SINIF;DERS ADI;ÜNİTE/TEMA/ ÖĞRENME ALANI;KAZANIM/ÖĞRENME ÇIKTISI/BÖLÜM;E-İÇERİK TÜRÜ;AÇIKLAMA;AI Senaryosu;EBA_URL
7;4;Din Kültürü ve Ahlak Bilgisi 4;2. ALLAH SEVGİSİ;DKAB.4.2.2. Allah’ın (cc) kullarına olan sevgisini gözleme dayalı tahmin edebilme;Etkileşimli İçerik;Öğrencilerin, Allah’ın (cc) kullarına olan sevgisini ve verdiği nimetleri gözlemleyerek çıkarım yapmasını sağlayacak, konuyla ilgili çeşitli görsellerin verilip etkleşimli soruların yer aldığı içerik hazırlanır.;;
8;4;Din Kültürü ve Ahlak Bilgisi 4;2. ALLAH SEVGİSİ;DKAB.4.2.3. Dua etme ihtiyacı hakkında düşünebilme;Etkileşimli İçerik;Dua etme ihtiyacını hakkında düşünebilmeyi sağlayan video ve video içerisinde öğrencileri düşünemeye sevk edecek sorulardan oluşan içerik hazırlanır.;;
9;4;Din Kültürü ve Ahlak Bilgisi 4;2. ALLAH SEVGİSİ;DKAB.4.2.4. Kelimeitevhit ve kelimeişehadet hakkında bilgi toplayabilme;Video/Etkileşimli İçerik;"Konuya ilişkin temel bilgilerin, resimlerle desteklenerek görsel hazırlanır.
Kelime-i Tevhid ve Kelime-i Şehadet'in anlamlarını, önemini ve nasıl söyleneceğini anlatan, çocukların tekrar ederek öğrenebileceği bir video hazırlanır.
Öğrencilerin bu kelimeleri doğru bir şekilde yazmayı öğrendikleri ve anlamlarını pekiştirdikleri etkileşimli alıştırmalar hazırlanır.";;
10;4;Din Kültürü ve Ahlak Bilgisi 4;2. ALLAH SEVGİSİ;DKAB.4.2.5. Amentü duasını ve bu duanın anlamını okuyarak yorumlayabilme;Video/Etkileşimli İçerik;Amentü duasının anlamını ve okunuşunu öğreten, öğrencilerin doğru telaffuz yapmasını sağlayan, duayı ezberleme için kısa cevaplı sorular içeren içerik hazırlanır.;;
11;4;Din Kültürü ve Ahlak Bilgisi 4;3. PEYGAMBERLERİN SEVGİSİ;DKAB.4.3.1. Peygamberlerin çocuk sevgisiyle ilgili bilgi toplayabilme;Video/Etkileşimli İçerik;"Peygamberimimzin çocuk sevgisi hakkında günlük hayatla ilişkilendirme fırsatı sunabilecek içerik hazırlanır.
Hz. Ali, Hz. Enes, Hz. Zeyd gibi çocuk sahabilerin Hz. Muhammed’le (sav) ilgili anlatılarına yer verilerek onun çocuklara gösterdiği özveri ile ilgili kısa bir  çizgi film hazırlanır.";;
12;4;Din Kültürü ve Ahlak Bilgisi 4;3. PEYGAMBERLERİN SEVGİSİ;DKAB.4.3.2. Peygamberlerin toplumlarına olan sevgisini yapılandırabilme;Video;Peygamberlerin toplumlarına olan sevgilerini anlatan bir video hazırlanır.;;
13;4;Din Kültürü ve Ahlak Bilgisi 4;3. PEYGAMBERLERİN SEVGİSİ;DKAB.4.3.3. Peygamberlerin çevre sevgisine ilişkin akıl yürütebilme;Video/Etkileşimli İçerik;"Peygamberlerin çevreye ve hayvanlara verdiği önemi anlatan, doğayı korumaya yönelik tavsiyelerini içeren ayet ve hadislerden örnekler veren bir video hazırlanır.
Öğrencilerin çevre sorunları ve çözümleri hakkında bilgi edinebileceği ve peygamberlerin çevre sevgisi ile ilgili akıl yürütebileceği etkileşimli bir oyun veya uygulama hazırlanır.";;
14;4;Din Kültürü ve Ahlak Bilgisi 4;3. PEYGAMBERLERİN SEVGİSİ;DKAB.4.3.4. Peygamberlerin çalışmayı sevdiğine dair çıkarım yapabilme;Video;Peygamberlerin yaşantılarından hareketle emek vererek kazanç elde etmenin önemini anlatan kısa film hazırlanır.;;
15;4;Din Kültürü ve Ahlak Bilgisi 4;3. PEYGAMBERLERİN SEVGİSİ;DKAB.4.3.5. Salli ve Barik dualarını ve bu duaların anlamlarını okuyarak yorumlayabilme;Video/Etkileşimli İçerik;Duanın anlamını ve okunuşunu öğreten, öğrencilerin doğru telaffuz yapmasını sağlayan, duayı ezberleme için kısa cevaplı sorular içeren içerik hazırlanır.;;
16;4;Din Kültürü ve Ahlak Bilgisi 4;4. AHLAKİ DEĞERLERİMİZ;DKAB.4.4.1. Adaletli davranmayı sorgulayabilme;Video/Etkileşimli İçerik;"Adalet kavramını, adaletli davranışların önemini ve adaletsizliğin sonuçlarını anlatan bir video hazırlanır.
Öğrencilerin farklı senaryolar üzerinden adaletli davranmanın ne anlama geldiğini sorgulayabileceği ve doğru davranışları seçebileceği etkileşimli bir oyun veya simülasyon hazırlanır.";;
17;4;Din Kültürü ve Ahlak Bilgisi 4;4. AHLAKİ DEĞERLERİMİZ;DKAB.4.4.2. Sabır değerinin önemini yapılandırabilme;Video/Etkileşimli İçerik;Sabır değerinin önemi ve günlük hayattaki yansımalarına ilişkin video hazırlanır. Öğrencilerin eğlenerek öğrenebileceği bir dijital oyun hazırlanır.;;
18;4;Din Kültürü ve Ahlak Bilgisi 4;4. AHLAKİ DEĞERLERİMİZ;DKAB.4.4.3. Yardımseverliğin insan ilişkilerindeki rolünü ve önemini gözleme dayalı tahmin edebilme;Etkileşimli İçerik;Ensar ve muhacir kardeşliği konulu bir cizgi roman hazırlanır.;;
19;4;Din Kültürü ve Ahlak Bilgisi 4;4. AHLAKİ DEĞERLERİMİZ;DKAB.4.4.4. Fatiha suresini ve bu surenin anlamını okuyarak yorumlayabilme;Video/Etkileşimli İçerik;Surenin anlamını ve okunuşunu öğreten, öğrencilerin doğru telaffuz yapmasını sağlayan, sureyi ezberleme için kısa cevaplı sorular içeren içerik hazırlanır.;;
20;4;Din Kültürü ve Ahlak Bilgisi 4;5. HAKLAR VE SORUMLULUKLAR;DKAB.4.5.1. Kişisel hakları sentezleyebilme;Video/Etkileşimli İçerik;"Yaşama hakkı, eğitim hakkı, sağlık hakkı, din ve vicdan özgürlüğü gibi kişisel hakları anlatan bir video hazırlanır.
Öğrencilerin bu hakları öğrenebileceği ve hakların korunması ile ilgili bilgi edinebileceği etkileşimli bir oyun veya uygulama hazırlanır.";;
21;4;Din Kültürü ve Ahlak Bilgisi 4;5. HAKLAR VE SORUMLULUKLAR;DKAB.4.5.2. Mahremiyet hakkını sorgulayabilme;Etkileşimli İçerik;Konuyla ilgili örnek olaylar verilerek öğrencinin davranışları sorgulayıp doğrusunu bulabileceği şekilde etkileşimli içerik hazırlanır.;;
22;4;Din Kültürü ve Ahlak Bilgisi 4;5. HAKLAR VE SORUMLULUKLAR;DKAB.4.5.3. Allah’a (cc) karşı sorumluluklarını çözümleyebilme;Video/Etkileşimli İçerik;"Kısa hikâyeler üzerinden öğrenciler açık uçlu sorular hazırlanır.
Allah’a karşı inanç ve ibadet sorumluluklarını anlatan animasyonlu bir videoda, insanın kendisine, ailesine, çevresine ve Allah’a karşı sorumlulukları örneklerle gösterildiği ve öğrencilere etkileşimli sorular yöneltildiği içerik hazırlanır.";;
23;4;Din Kültürü ve Ahlak Bilgisi 4;5. HAKLAR VE SORUMLULUKLAR;DKAB.4.5.4. İnsanlara karşı sorumluluklarını özetleyebilme;Video/Etkileşimli İçerik;"Kavramlar hakkında bilgi edinebilecekleri  etkileşimli içerik hazırlanır.
İnsanlara karşı sorumlulukları (saygılı olmak, yardımcı olmak, dürüst olmak vb.) anlatan bir video hazırlanır.
Öğrencilerin bu sorumlulukları öğrenebileceği ve hayatlarında nasıl uygulayabilecekleri konusunda bilgi edinebileceği etkileşimli bir oyun veya uygulama hazırlanır.";;
24;4;Din Kültürü ve Ahlak Bilgisi 4;5. HAKLAR VE SORUMLULUKLAR;DKAB.4.5.5. Rabbena dualarını ve bu duaların anlamlarını okuyarak yorumlayabilme;Video/Etkileşimli İçerik;Duanın anlamını ve okunuşunu öğreten, öğrencilerin doğru telaffuz yapmasını sağlayan, duayı ezberleme için kısa cevaplı sorular içeren içerik hazırlanır.;;
1;5;Din Kültürü ve Ahlak Bilgisi 5;1. ALLAH İNANCI;Köprü Kurma;Video/Etkileşimli İçerik;Fen bilimleri dersinde öğrenilen tabiat olaylarındaki (Dünya’nın hem kendi hem de Güneş etrafında dönüşü, mevsimlerin oluşumu, su döngüsü vb.) doğa yasaları ile Allah’ın (cc) yaratıcılığı arasında ilişki kuran video veya etkileşimli video hazırlanır.;;
2;5;Din Kültürü ve Ahlak Bilgisi 5;1. ALLAH İNANCI;DKAB.5.1.2. Evrendeki mükemmel düzeni gözlem yoluyla fark edip Allah’ın (cc) varlığı ve birliğini gözleme dayalı tahmin edebilme;Video/Etkileşimli İçerik;Tevhit kavramıyla ilgili ayetlerden ve hadislerden öğrenci seviyesine uygun örnekler içeren video veya etkileşimli içerik hazırlanır.;;
3;5;Din Kültürü ve Ahlak Bilgisi 5;1. ALLAH İNANCI;DKAB.5.1.3. Allah’ın (cc) güzel isimleri hakkında bilgi toplayabilme;Video/Etkileşimli İçerik;Allah’ın (cc) güzel isimleri hakkında video veya etkileşimli içerik hazırlanır.;;
4;5;Din Kültürü ve Ahlak Bilgisi 5;1. ALLAH İNANCI;DKAB.5.1.4. İhlas suresini ve bu surenin anlamını okuyarak yorumlayabilme;Etkileşimli İçerik;İhlas suresinin Arapça metni verilerek her bir ayetin veya tamamının üzerine tıklandığında okunuşunun dinlenebildiği ve metin üzerinde eş zamanlı olarak vurgulandığı ve anlamının görüntülenebildiği etkileşimli içerik hazırlanır.;;
5;5;Din Kültürü ve Ahlak Bilgisi 5;2. NAMAZ;DKAB.5.2.1. Namaz ibadetini özetleyebilme;Etkileşimli İçerik;Namaz çeşitleri, rekât sayıları, vakitleri ile ilgili etkileşimli içerik hazırlanır.;;
6;5;Din Kültürü ve Ahlak Bilgisi 5;2. NAMAZ;DKAB.5.2.2. Namazın kılınışını gözlemleyebilme;Video/Etkileşimli İçerik;"Abdestin alınış sırasını gösteren video veya etkileşimli içerik hazırlanır.
İki rekâtlı namazın kılınışını gösteren video veya etkileşimli içerik hazırlanır.";;
7;5;Din Kültürü ve Ahlak Bilgisi 5;2. NAMAZ;DKAB.5.2.4. Tahiyyat duasını ve bu duanın anlamını okuyarak yorumlayabilme;Etkileşimli İçerik;Tahiyyat duasının Arapça metni verilerek her bir ayetin veya tamamının üzerine tıklandığında okunuşunun dinlenebildiği ve metin üzerinde eş zamanlı olarak vurgulandığı ve anlamının görüntülenebildiği etkileşimli içerik hazırlanır.;;
8;5;Din Kültürü ve Ahlak Bilgisi 5;3. KUR’AN-I KERİM;"DKAB.5.3.1. Kur’an-ı Kerim’in iç düzenini
çözümleyebilme";Video/Etkileşimli İçerik;Kur'an-ı Kerim'in iç sayfalarından görseller içeren ve ayet, sure ve cüz kavramları hakkında  bilgi veren video veya çözümlemeye yönelik etkileşimli içerik hazırlanır.;;
9;5;Din Kültürü ve Ahlak Bilgisi 5;3. KUR’AN-I KERİM;DKAB.5.3.2. Kur’an-ı Kerim’in temel özellikleri hakkında bilgi toplayabilme;Etkileşimli İçerik;Kur’an-ı Kerim’in her bir temel özelliği ile ilgili üzerine tıklandığında mealleri görülebilen ayet ve hadisler içeren etkileşimli içerik hazırlanır.;;
10;5;Din Kültürü ve Ahlak Bilgisi 5;3. KUR’AN-I KERİM;DKAB.5.3.4. Kevser suresini ve bu surenin anlamını okuyarak yorumlayabilme;Etkileşimli İçerik;Kevser suresinin Arapça metni verilerek her bir ayetin veya tamamının üzerine tıklandığında okunuşunun dinlenebildiği ve metin üzerinde eş zamanlı olarak vurgulandığı ve anlamının görüntülenebildiği etkileşimli içerik hazırlanır.;;
11;5;Din Kültürü ve Ahlak Bilgisi 5;4. PEYGAMBER KISSALARI;DKAB.5.4.2. Peygamber kıssalarında verilen öğütleri sentezleyebilme;Video/Etkileşimli İçerik;"Hz. Nuh kıssası Yunus, Hud ve Nuh surelerindeki ilgili ayetler kapsamında; Hz. İbrahim kıssası Enbiya suresi çerçevesinde; Hz. Musa kıssası Araf, Taha ve Kasas surelerindeki ayetler bağlamında; Hz. İsa kıssası Al-i İmran, Maide ve Meryem surelerindeki ilgili ayetlerle ilişkilendirilerek bu kıssalarla ilgili video veya etkileşimli içerik hazırlanır.";;
12;5;Din Kültürü ve Ahlak Bilgisi 5;4. PEYGAMBER KISSALARI;DKAB.5.4.3. Kureyş suresini ve bu surenin anlamını okuyarak yorumlayabilme;Etkileşimli İçerik;Kureyş suresinin Arapça metni verilerek her bir ayetin veya tamamının üzerine tıklandığında okunuşunun dinlenebildiği ve metin üzerinde eş zamanlı olarak vurgulandığı ve anlamının görüntülenebildiği etkileşimli içerik hazırlanır.;;
13;5;Din Kültürü ve Ahlak Bilgisi 5;5. MİMARİMİZDE DİNÎ MOTİFLER;DKAB.5.5.1. Dinin mimarimize etkisini çözümleyebilme;Video/Etkileşimli İçerik;Çeşitli bölgelerde bulunan cami, çeşme, medrese, külliye, kervansaray gibi mimari eserleri ve bu eserlerde kullanılan hat, tezhip, çini, minyatür gibi sanatları gösteren video veya etkileşimli içerik hazırlanır.;;
14;5;Din Kültürü ve Ahlak Bilgisi 5;5. MİMARİMİZDE DİNÎ MOTİFLER;DKAB.5.5.2. Camilerin bölümlerini tanıyabilme;Etkileşimli İçerik;Mihrap, minber, vaaz kürsüsü, minare, şerefe, şadırvan, kubbe gibi caminin iç ve dış bölümlerinin gözlemlenmesine ve her bölüm hakkında bilgi almalarına olanak sağlayan sanal gezi hazırlanır.;;
15;5;Din Kültürü ve Ahlak Bilgisi 5;5. MİMARİMİZDE DİNÎ MOTİFLER;DKAB.5.5.3. Kültürümüzde yer alan cami örneklerini karşılaştırabilme;Video/Etkileşimli İçerik;"Hat, ebru, çini, taş ve ahşap oymacılığı gibi sanatlarla ilgili örneklerin yer aldığı video hazırlanır.
Türkiye’nin çeşitli bölgelerinde yer alan önemli camileri gösteren, her bir camiye tıklandığında camiyle ilgili görsellere ve önemli bilgilere ulaşılan etkileşimli bir harita hazırlanır.";;
1;6;Din Kültürü ve Ahlak Bilgisi 6;"1. PEYGAMBER VE İLAHİ KİTAP
İNANCI";"DKAB.6.1.1. Peygamberlerin insanlara rehber olarak
gönderilmesi hakkında bilgi toplayabilme.";Video/Etkileşimli İçerik;Geçerli ve güvenilir kaynaklardan Peygamber, vahiy, tebliğ, nübüvvet, risalet kavramlarına yönelik içerik hazırlanır.;;
2;6;Din Kültürü ve Ahlak Bilgisi 6;1. PEYGAMBER VE İLAHİ KİTAP İNANCI;DKAB.6.1.3. İlahi kitaplarla ilgili bilgileri çözümleyebilme.;Video/Etkileşimli İçerik;"İlahi kitapların özelliklerini ve içerdikleri mesajları özetleyen bir video hazırlanır.
İlahi kitaplar arasındaki temel farkları karşılaştırabilecekleri etkileşimli içerik hazırlanır.";;
3;6;Din Kültürü ve Ahlak Bilgisi 6;1. PEYGAMBER VE İLAHİ KİTAP İNANCI;DKAB.6.1.4. Felak suresini ve bu surenin anlamını okuyarak yorumlayabilme.;Etkileşimli  İçerik/Video/Ses;"Felak suresini ve anlamını anlatan, suredeki duaların önemini vurgulayan bir video hazırlanır. Surenin doğru telaffuzunu içeren ses dosyası hazırlanır.
Felak suresini okuma pratiği ve anlamı üzerinde düşünme sağlayan bir etkileşimli uygulama hazırlanır.";;
4;6;Din Kültürü ve Ahlak Bilgisi 6;2. RAMAZAN VE ORUÇ;DKAB.6.2.1. Ramazan ayının oruç ve Kur’an ayı olduğunu çözümleyebilme.;Video/Etkileşimli İçerik;Ramazan ayının manevi anlamı ve oruç ibadetinin önemine yönelik içerik hazırlanır.;;
5;6;Din Kültürü ve Ahlak Bilgisi 6;2. RAMAZAN VE ORUÇ;DKAB.6.2.2. Oruç ibadeti hakkında bilgi toplayabilme.;Video/Etkileşimli İçerik;"Oruç ibadetinin dini hükümleri ve çeşitlerine (farz, vacip, sünnet) yönelik içerik hazırlanır.
Sahur, imsak, iftar, teravih, mukabele ve fitre kavramlarına yönelik içerik hazırlanır.";;
6;6;Din Kültürü ve Ahlak Bilgisi 6;2. RAMAZAN VE ORUÇ;DKAB.6.2.3. Oruç ibadetinin insana kazandırdıklarını yapılandırabilme.;Video/Etkileşimli İçerik;"Oruç tutmanın insana kazandırdığı manevi ve ahlaki değerleri anlatan bir video hazırlanır.
Oruç tutmanın insana kazandırdığı manevi ve ahlaki değerlerle ilgili hadisleri bulmayla ilgili etkileşimli içerik hazırlanır.
Oruç ibadetinin kazandırdığı değerleri hayatlarına nasıl uygulayabileceklerini gösteren bir simülasyon oyunu hazırlanır.";;
7;6;Din Kültürü ve Ahlak Bilgisi 6;2. RAMAZAN VE ORUÇ;DKAB.6.2.4. İftar duasını ve bu duanın anlamını okuyarak yorumlayabilme.;Etkileşimli  İçerik/Video/Ses;"İftar duasının anlamını ve nasıl okunduğunu anlatan bir video, ses dosyası hazırlanır.
İftar duasını okuma ve doğru telaffuz etme pratiği yapabilecekleri bir etkileşimli uygulama hazırlanır.";;
8;6;Din Kültürü ve Ahlak Bilgisi 6;3. AHLAKİ DAVRANIŞLAR;DKAB.6.3.1. Doğru sözlü olmayı kendi hayatına yansıtabilme.;Video/Etkileşimli İçerik;"Doğru sözlü olmanın İslam'daki yeri ve hayatımızdaki önemi hakkında bilgi veren bir video hazırlanır.
Öğrencilerin günlük hayatlarında doğru sözlü olmayı deneyimleyebileceği bir etkileşimli hikâye hazırlanır.";;
9;6;Din Kültürü ve Ahlak Bilgisi 6;3. AHLAKİ DAVRANIŞLAR;DKAB.6.3.2. Merhametli olmayı yorumlayabilme.;Video/Etkileşimli İçerik;"Merhametin İslam’da ve toplumda nasıl bir yer tuttuğunu anlatan bir video hazırlanır.
Öğrencilerin merhametli davranışları uygulamalı olarak öğrenebileceği senaryolardan oluşan içerik hazırlanır.";;
10;6;Din Kültürü ve Ahlak Bilgisi 6;3. AHLAKİ DAVRANIŞLAR;DKAB.6.3.3. Adap ve nezaket kurallarını özetleyebilme.;Video/Etkileşimli İçerik;"İslam’daki adap ve nezaket kurallarını açıklayan bir video hazırlanır.
Öğrencilerin adap ve nezaket kurallarını uygulamalı olarak öğrenebileceği bir etkileşimli içerik hazırlanır.";;
11;6;Din Kültürü ve Ahlak Bilgisi 6;3. AHLAKİ DAVRANIŞLAR;DKAB.6.3.4. Vatanını sevmenin önemi hakkında çıkarım yapabilme.;Video/Etkileşimli İçerik;Vatan sevgisinin önemine yönelik içerik hazırlanır.;;
12;6;Din Kültürü ve Ahlak Bilgisi 6;3. AHLAKİ DAVRANIŞLAR;DKAB.6.3.5. Kunut dualarını ve bu duaların anlamlarını okuyarak yorumlayabilme.;Etkileşimli  İçerik/Video/Ses;"Kunut dualarının anlamını ve nasıl okunduğunu anlatan bir video, ses dosyası hazırlanır.
Kunut dualarını okuma ve doğru telaffuz etme pratiği yapabilecekleri bir etkileşimli uygulama hazırlanır.";;
13;6;Din Kültürü ve Ahlak Bilgisi 6;4. PEYGAMBERLİĞİNDEN ÖNCE HZ. MUHAMMED;DKAB.6.4.1. Hz. Muhammed’in (sav) doğduğu çevreyi tarihsel bağlamda değerlendirebilme.;Video/Etkileşimli İçerik;Hz. Muhammed’in doğduğu Mekke’nin tarihsel ve coğrafi koşullarını anlatan bir video veya etkileşimli içerik hazırlanır.;;
14;6;Din Kültürü ve Ahlak Bilgisi 6;4. PEYGAMBERLİĞİNDEN ÖNCE HZ. MUHAMMED;DKAB.6.4.2. Hz. Muhammed’in (sav) çocukluk yılları hakkında verilen bilgileri yorumlayabilme.;Video/Etkileşimli İçerik;"Hz. Muhammed’in çocukluk yılları hakkında etkileşimli zaman çizelgesi hazırlanır.
Hz. Muhammed’in çocukluk yıllarını ve çevresini anlatan bir video hazırlanır.";;
15;6;Din Kültürü ve Ahlak Bilgisi 6;4. PEYGAMBERLİĞİNDEN ÖNCE HZ. MUHAMMED;DKAB.6.4.3. Hz. Muhammed’in (sav) gençlik yılları hakkında verilen bilgileri yapılandırabilme.;Video/Etkileşimli İçerik;"Peygamberin gennçlik yıllarını özetleyen tarih şeridi hazırlanır.
Hz. Muhammed’in gençlik yıllarındaki olayları anlatan bir video hazırlanır.
Öğrencilerin Hz. Muhammed’in gençlik yıllarını kronolojik olarak inceleyebileceği bir dijital etkinlik hazırlanır.";;
16;6;Din Kültürü ve Ahlak Bilgisi 6;4. PEYGAMBERLİĞİNDEN ÖNCE HZ. MUHAMMED;DKAB.6.4.4. Fil suresini ve bu surenin anlamını okuyarak yorumlayabilme.;Etkileşimli  İçerik/Video/Ses;"Surenin anlamını ve nasıl okunduğunu anlatan bir video, ses dosyası hazırlanır.
Sureyi okuma ve doğru telaffuz etme pratiği yapabilecekleri bir etkileşimli uygulama hazırlanır.";;
17;6;Din Kültürü ve Ahlak Bilgisi 6;5. KÜLTÜRÜMÜZDEKİ DİNÎ MOTİFLER;DKAB.6.5.1. Geleneğimizde, edebiyatımızda ve musikimizde dinin izlerini özetleyebilme.;Video/Etkileşimli İçerik;Öğrencilerin dini temaların edebiyat ve müzik üzerindeki etkilerine yönelik video veya etkileşimli içerik hazırlanır.;;
1;7;Din Kültürü ve Ahlak Bilgisi 7;1. MELEK VE AHİRET İNANCI;DKAB.7.1.1. Melekleri sınıflandırabilme;Etkileşimli İçerik;Meleklerin özellikleri, türleri ve görevlerine ilişkin içerik hazırlanır.;;
2;7;Din Kültürü ve Ahlak Bilgisi 7;1. MELEK VE AHİRET İNANCI;DKAB.7.1.2. Ahiret hayatının aşamalarını çözümleyebilme;Etkileşimli İçerik;"Ahiret hayatının aşamalarını kronolojik olarak sıralama; aşamalara ilişkin doğru-yanlış sorularıyla değerlendirme etkinliği hazırlanır.";;
3;7;Din Kültürü ve Ahlak Bilgisi 7;1. MELEK VE AHİRET İNANCI;DKAB.7.1.3. Melek ve ahiret inancının insan davranışına etkisi hakkında düşünebilme;Video/Etkileşimli İçerik;"Melek ve ahiret inancının insan davranışlarına nasıl olumlu etkilerde bulunabileceğini anlatan, örnek olaylar ve kişilerle desteklenmiş bir video hazırlanır.
Öğrencilerin farklı senaryolar üzerinden melek ve ahiret inancının insan davranışlarına etkisini değerlendirebileceği içerik hazırlanır.";;
4;7;Din Kültürü ve Ahlak Bilgisi 7;1. MELEK VE AHİRET İNANCI;DKAB.7.1.4. Nâs suresini ve bu surenin anlamını okuyarak yorumlayabilme;Video/Etkileşimli İçerik;Nâs suresinin anlamını ve okunuşunu öğreten, öğrencilerin doğru telaffuz yapmasını sağlayan, sureyi ezberleme için kısa cevaplı sorular içeren içerik hazırlanır.;;
5;7;Din Kültürü ve Ahlak Bilgisi 7;2. HAC, UMRE VE KURBAN;DKAB.7.2.1. Hac ve umre ibadetlerini inceleyebilme;Etkileşimli İçerik;Hac ve umre ibadetlerinde kullanılan mekanların sanal haritalarla öğrenilmesine yönelik sanal gezi uygulamaları hazırlanır.;;
6;7;Din Kültürü ve Ahlak Bilgisi 7;2. HAC, UMRE VE KURBAN;DKAB.7.2.2. Kurban ibadetini yapılandırabilme;Etkileşimli İçerik/Görsel;Kurban ibadetinin dini ve toplumsal önemini görseller ve infografikler yardımıyla açıklayan etkinlikleri hazırlar.;;
7;7;Din Kültürü ve Ahlak Bilgisi 7;2. HAC, UMRE VE KURBAN;DKAB.7.2.3. Hac ve kurban ibadetinin kültürümüze yansımalarını gözleme dayalı tahmin edebilme;Video/Etkileşimli İçerik;"Hac ve kurban ibadetlerinin Türk kültürüne yansımalarını (bayramlaşma, kurban eti dağıtma, hac dönüşü yapılan ziyaretler gibi) anlatan, belgesel niteliğinde bir video hazırlanır.
Öğrencilerin hac ve kurban ibadetlerinin kültürümüzdeki yerini sorgulayabileceği, etkileşimli içerik hazırlanır.";;
8;7;Din Kültürü ve Ahlak Bilgisi 7;2. HAC, UMRE VE KURBAN;DKAB.7.2.4. Kâfirun suresini ve bu surenin anlamını okuyarak yorumlayabilme;Video/Etkileşimli İçerik;Kafirun suresinin anlamını ve okunuşunu öğreten, öğrencilerin doğru telaffuz yapmasını sağlayan, sureyi ezberleme için kısa cevaplı sorular içeren içerik hazırlanır.;;
9;7;Din Kültürü ve Ahlak Bilgisi 7;3. İSLAM DÜŞÜNCESİNDE YORUMLAR;DKAB.7.3.1. Din anlayışındaki yorum farklılıklarının sebeplerini sorgulayabilme;Etkileşimli İçerik;Din anlayışındaki yorum farklılıklarına dair etkileşimli içerik hazırlanır.;;
10;7;Din Kültürü ve Ahlak Bilgisi 7;3. İSLAM DÜŞÜNCESİNDE YORUMLAR;DKAB.7.3.2. İslam düşüncesindeki yorum biçimlerini sınıflandırabilme;Etkileşimli İçerik;Öğrencilerin bu yorum biçimlerini sınıflandırabileceği, etkileşimli bir bilgi haritası hazırlanır.;;
11;7;Din Kültürü ve Ahlak Bilgisi 7;3. İSLAM DÜŞÜNCESİNDE YORUMLAR;DKAB.7.3.3. Kültürümüzdeki tasavvufi yorumları çözümleyebilme;Etkileşimli İçerik;Öğrencilerin aktif katılımını sağlayan zenginleştirilmiş çoktan seçmeli sorular   hazırlanır.;;
12;7;Din Kültürü ve Ahlak Bilgisi 7;3. İSLAM DÜŞÜNCESİNDE YORUMLAR;"DKAB.7.3.4. Alevilik Bektaşilik ile ilgili temel kavramlar ve cem erkânları hakkında bilgi
toplayabilme";Etkileşimli İçerik;İlgilli konunun kavramları ile ilgili  açık uçlu sorular hazırlanır.;;
13;7;Din Kültürü ve Ahlak Bilgisi 7;4. PEYGAMBER OLARAK HZ. MUHAMMED;DKAB.7.4.1. Hz. Muhammed’in (sav) Mekke’de yaşadıklarını yorumlayabilme;Video/Etkileşimli İçerik;"Hz. Muhammed'in (sav) Mekke dönemindeki hayatını, karşılaştığı zorlukları ve mücadelesini anlatan bir video hazırlanır.
Öğrencilerin Hz. Muhammed'in (sav) Mekke dönemindeki olayları kronolojik olarak inceleyebileceği ve yorumlayabileceği etkileşimli bir zaman çizelgesi hazırlanır.";;
14;7;Din Kültürü ve Ahlak Bilgisi 7;4. PEYGAMBER OLARAK HZ. MUHAMMED;DKAB.7.4.2. Hicret konusunu tarihsel bağlamda değerlendirebilme;Video/Etkileşimli İçerik;"Öğrencilerin aktif katılımını sağlayan zenginleştirilmiş etkileşimli zaman çizegesi hazırlanır.
Hicretin sebeplerini, tarihsel sürecini ve sonuçlarını anlatan, haritalar ve görsellerle desteklenmiş bir video hazırlanır.
Öğrencilerin hicret konusunu farklı bakış açılarından değerlendirebileceği etkileşimli içerik hazırlanır.";;
15;7;Din Kültürü ve Ahlak Bilgisi 7;4. PEYGAMBER OLARAK HZ. MUHAMMED;DKAB.7.4.3. Hz. Muhammed’in (sav) Medine Dönemi konusunu yapılandırabilme;Etkileşimli İçerik;Öğrencilerin aktif katılımını sağlayan zenginleştirilmiş etkileşimli zaman çizilgesi hazırlanır.;;
16;7;Din Kültürü ve Ahlak Bilgisi 7;4. PEYGAMBER OLARAK HZ. MUHAMMED;DKAB.7.4.4. Nasr suresini ve bu surenin anlamını okuyarak yorumlayabilme;Video/Etkileşimli İçerik;Nasr suresinin anlamını ve okunuşunu öğreten, öğrencilerin doğru telaffuz yapmasını sağlayan, sureyi ezberleme için kısa cevaplı sorular içeren içerik hazırlanır.;;
17;7;Din Kültürü ve Ahlak Bilgisi 7;5. YAŞAYAN DÜNYA DİNLERİ;DKAB.7.5.1. Yahudilik, Hristiyanlık, Hinduizm ve Budizm dinleri hakkında bilgi toplayabilme;Video/Etkileşimli İçerik;"Yahudilik, Hristiyanlık, Hinduizm ve Budizm dinlerinin temel inançlarını, ibadetlerini ve kutsal kitaplarını anlatan bir video hazırlanır.
Öğrencilerin bu dinler hakkında bilgi edinebileceği, etkileşimli bilgi kartları, quizler ve karşılaştırmalı tablolar hazırlanır.";;
